ClientID,Recency,Frequency,Monetary_Q,Monetary_A
client13166,682,2,23,2705
client1239,35,43,219,42161
client30041,190,25,133,16057
client36276,289,4,12,4614
client14136,217,6,36,35870
client30982,791,1,9,791
client29086,791,1,4,1882
client8040,54,13,161,32223
client24443,116,15,66,9236
client23778,169,5,31,2487
client18750,17,3,12,1922
client13170,4,43,533,75510
client17824,552,4,31,19021
client13883,447,14,78,17672
client15108,30,21,162,58650
client13931,377,2,9,1957
client27735,192,6,17,8354
client40742,123,6,24,2694
client13996,15,32,469,88223
client9820,52,10,25,9167
client38869,21,7,160,54120
client32268,8,22,134,47179
client27974,791,1,3,2883
client38868,632,2,17,3799
client13877,58,44,214,36421
client36585,258,2,5,2296
client27083,664,2,2,4047
client28103,791,1,22,1098
client13596,739,3,4,1144
client32922,76,13,66,11509
client22387,146,15,148,25255
client30222,17,34,149,19917
client11153,125,12,67,24396
client22608,173,10,112,17497
client38360,70,8,38,9500
client12753,754,2,8,912
client21241,570,4,4,5092
client13333,169,2,4,792
client4089,104,18,164,26776
client37556,52,4,17,2341
client24496,34,6,87,2556
client7499,14,32,370,46910
client33335,37,34,243,115254
client37919,96,9,28,7010
client36690,136,10,93,12537
client42185,462,14,209,57813
client39112,201,11,216,29979
client6997,111,7,13,8059
client1429,78,23,107,17803
client17132,791,1,33,25981
client36533,19,30,333,59765
client41429,240,6,112,14762
client26430,13,22,138,46404
client16788,46,9,54,12789
client24264,38,16,140,29812
client684,380,25,248,41396
client41692,215,4,18,2742
client20818,539,3,49,28761
client26756,78,9,64,13979
client39737,733,2,79,15940
client22159,726,2,11,14973
client6011,371,2,4,1546
client7831,338,3,51,4933
client24027,790,1,3,1197
client22468,790,1,11,1417
client2511,790,1,7,1139
client34419,105,2,15,9533
client29852,164,5,95,13172
client39727,18,12,77,8655
client144,74,14,161,46819
client21042,69,16,184,56648
client17060,790,1,1,6649
client16551,76,2,20,11497
client17079,25,13,68,9393
client39024,462,7,71,36970
client41232,66,5,112,4935
client37188,166,7,120,32633
client14695,159,5,56,7458
client28161,31,22,94,15705
client14582,373,5,16,3556
client20572,541,6,30,25483
client28316,440,3,59,10499
client6365,24,10,85,13184
client5248,420,3,5,9811
client29002,752,3,6,1736
client9618,82,23,250,89669
client31202,59,11,68,27039
client2563,124,9,48,4938
client36590,82,19,64,43061
client3798,387,2,25,2579
client25085,10,40,338,95077
client23499,54,22,68,19068
client12744,143,20,271,23443
client40485,14,38,152,39876
client24155,81,4,9,11341
client5803,81,9,43,14106
client8912,790,1,1,1482
client7322,53,15,97,8305
client18606,4,17,142,24312
client1405,603,6,122,40858
client27586,790,1,8,2912
client2992,35,12,73,17095
client35896,771,4,103,17171
client438,125,12,145,22261
client27797,75,7,76,9442
client26166,172,12,75,14728
client25054,60,23,226,67917
client41932,241,5,33,13885
client37482,272,4,17,2262
client4419,31,35,221,35212
client42617,155,14,149,19497
client37593,152,10,17,7432
client230,787,2,12,5142
client17769,40,5,15,3143
client6027,408,3,28,7762
client10706,789,1,7,1515
client22877,52,26,184,73220
client29605,18,17,223,42165
client12797,56,5,66,15589
client35531,200,2,32,19250
client4146,789,1,13,1671
client21122,684,5,19,2306
client151,424,4,67,36652
client17439,515,4,17,4015
client7204,142,3,25,14094
client24663,15,24,236,51239
client3190,789,1,10,1076
client8026,3,8,29,8853
client36643,789,1,6,1594
client6042,439,2,20,4730
client4978,789,1,6,384
client2828,133,3,5,8835
client4399,558,2,11,2675
client4941,52,15,145,26463
client1354,533,5,19,6582
client28671,186,7,28,5182
client25584,684,4,32,28939
client3846,789,1,1,1099
client10022,789,1,5,381
client18887,30,9,49,11597
client7219,22,11,105,31339
client36910,789,1,12,910
client23192,780,3,7,6590
client18805,10,4,20,14091
client20538,4,18,115,36804
client19373,746,2,10,5760
client20608,11,14,60,14860
client28304,768,4,44,5782
client3593,789,1,5,2241
client14532,234,9,50,11755
client23856,789,1,6,1684
client25564,80,12,134,66031
client14923,261,7,67,5623
client3663,782,2,73,15994
client22055,789,1,3,11497
client41111,789,1,12,2584
client34503,789,1,4,1322
client17476,6,40,170,46438
